Module 1	Module 2	Module 3	Module 4	Module 5	Module 6	Module 7	Module 8	Module 9	Module 10	Module 11	Module 12	Module 13	Module 14	Module 15
Ckap5	Baz1b	Ezh2	Wnt4	Srpk2	NA	Rock2	Tax1bp3	Ppat	NA	NA	NA	NA	NA	NA
Cks1b	Eprs	E2f1	Slc4a4	Aldh1a2	NA	Map4k4	Mgst2	Morc4	NA	NA	NA	NA	NA	NA
Dbf4	Cdk6	Atad5	Sox17	Kit	NA	Zfp292	Serpinb9	Psip1	NA	NA	NA	NA	NA	NA
Arhgap11a	Afdn	Ccne2	Stc2	Ly6g6c	NA	Dsp	Trp53inp1	Ube2ql1	NA	NA	NA	NA	NA	NA
Spc25	Hspa9	Chaf1b	Acot1	Actn1	NA	Golim4	Gadd45a	Abcb1b	NA	NA	NA	NA	NA	NA
Hjurp	Rrm1	Prim1	Flrt3	Col7a1	NA	Ubl3	S100a13	Arhgdig	NA	NA	NA	NA	NA	NA
Fam83d	Msh6	Pola1	Ctxn1	Ndrg1	NA	Pbrm1	Pdcd4	Bmp4	NA	NA	NA	NA	NA	NA
Bub1b	Hnrnpul2	Fen1	Plekhs1	Mast4	NA	Epb41l2	Ociad2	Bmyc	NA	NA	NA	NA	NA	NA
Mis18bp1	Suz12	Tex30	Sat1	Jag1	NA	Syne2	Lpp	Wfs1	NA	NA	NA	NA	NA	NA
Esco2	Gls	E2f8	Osbpl3	Jun	NA	Arhgef5	Ifi27	Gpd2	NA	NA	NA	NA	NA	NA
Calm2	Tfrc	Bard1	Ypel3	Tcf4	NA	Supt6	Tcn2	Htra1	NA	NA	NA	NA	NA	NA
Bub1	Chd4	Brip1	Klhl24	Vegfa	NA	Cast	Lurap1l	Mafb	NA	NA	NA	NA	NA	NA
Sapcd2	Trim44	Cenps	Sesn3	Lamb3	NA	Luc7l2	Phlda3	Car2	NA	NA	NA	NA	NA	NA
Ccna2	Brca2	Gins2	Ptprk	F3	NA	Ccdc47	Nme4	Slfn2	NA	NA	NA	NA	NA	NA
Bub3	Snrnp200	Gjc1	Filip1l	Mab21l4	NA	Nktr	Ahnak2	Ccdc68	NA	NA	NA	NA	NA	NA
Ubald2	Syncrip	Rpa1	Ctns	Ets2	NA	Cep170	Gprc5a	Psrc1	NA	NA	NA	NA	NA	NA
Cep55	Nom1	Gins1	Dok2	Mlf1	NA	Kmt2a	Ube2h	Nudt19	NA	NA	NA	NA	NA	NA
Knstrn	Galnt3	Zfp367	Tmem176a	Jam2	NA	Nfat5	Hes1	Gipc2	NA	NA	NA	NA	NA	NA
Ect2	Parp1	Dhfr	Lbp	Enpp2	NA	Ulbp1	Sulf2	Slc16a3	NA	NA	NA	NA	NA	NA
Tacc3	Ddx3x	Wdhd1	Acta2	Elf3	NA	Usp10	Naxe	Galnt2	NA	NA	NA	NA	NA	NA
Ccnf	Usp1	Ckap4	Cfap126	Pdlim7	NA	Tead1	Glmp	Lhx2	NA	NA	NA	NA	NA	NA
Cdkn3	Larp1	Rad51ap1	Kitl	Col8a1	NA	Cep250	Sgk1	Dhrs3	NA	NA	NA	NA	NA	NA
Dlgap5	Ipo7	Rnf168	Cavin2	Itga2	NA	Bptf	Fah	C3	NA	NA	NA	NA	NA	NA
Racgap1	Ahctf1	Cdca5	Upk3bl	Maf	NA	Dync1h1	NA	Eps8	NA	NA	NA	NA	NA	NA
Rad21	Srrt	Asf1b	Erlec1	Zbtb38	NA	Fnbp1l	NA	Get4	NA	NA	NA	NA	NA	NA
Kif4	Cenpb	Blm	Edn1	Cflar	NA	Snd1	NA	NA	NA	NA	NA	NA	NA	NA
Spdl1	Prpf4b	E2f7	Usp29	Myzap	NA	Soat1	NA	NA	NA	NA	NA	NA	NA	NA
Ckap2	Pcnt	Rbmx2	Tanc2	Slc4a11	NA	Safb	NA	NA	NA	NA	NA	NA	NA	NA
Ndc80	Taf1	Cenpk	Rgl1	Ephb2	NA	Tln1	NA	NA	NA	NA	NA	NA	NA	NA
Pbk	Purb	Tcf19	Krtap1-5	Mmp14	NA	Krit1	NA	NA	NA	NA	NA	NA	NA	NA
Nek2	Plk4	NA	Lamp2	Fhl2	NA	Hadha	NA	NA	NA	NA	NA	NA	NA	NA
Cdkn2d	Rad50	NA	Prom1	Gmfg	NA	Specc1	NA	NA	NA	NA	NA	NA	NA	NA
Kif2c	Cbx5	NA	Ece1	Dbn1	NA	Dlg1	NA	NA	NA	NA	NA	NA	NA	NA
Prr11	Ipo5	NA	Ffar4	Il1a	NA	Setx	NA	NA	NA	NA	NA	NA	NA	NA
Kif20a	Snx5	NA	Tspan1	Nedd9	NA	Gja1	NA	NA	NA	NA	NA	NA	NA	NA
Ncaph	Zc3h18	NA	Snx10	Trp53i11	NA	Trip11	NA	NA	NA	NA	NA	NA	NA	NA
Ccnb2	Ubtf	NA	Klf9	Itgav	NA	Mapk6	NA	NA	NA	NA	NA	NA	NA	NA
Kif22	Nufip2	NA	Hbp1	Rhoc	NA	Mtcl1	NA	NA	NA	NA	NA	NA	NA	NA
Arhgap19	Prpf38b	NA	Adamts9	Rin2	NA	Rai14	NA	NA	NA	NA	NA	NA	NA	NA
Rangap1	Ubap2	NA	Tshz3	Apbb2	NA	Top2b	NA	NA	NA	NA	NA	NA	NA	NA
Reep4	Ddx23	NA	Ank	Cbs	NA	Arcn1	NA	NA	NA	NA	NA	NA	NA	NA
Tuba1c	Smchd1	NA	Pax9	Inhbb	NA	Stag2	NA	NA	NA	NA	NA	NA	NA	NA
Kif18a	Phip	NA	Epha7	Itgb4	NA	Mia3	NA	NA	NA	NA	NA	NA	NA	NA
Gas2l3	Bclaf1	NA	Usp53	Mmp15	NA	Tasor2	NA	NA	NA	NA	NA	NA	NA	NA
G2e3	Steap2	NA	Sdhaf1	Lamb1	NA	Eif4g3	NA	NA	NA	NA	NA	NA	NA	NA
Kif14	Acin1	NA	Fut9	Ctsw	NA	Numa1	NA	NA	NA	NA	NA	NA	NA	NA
Depdc1a	Ppfia1	NA	Socs2	Plaat3	NA	Cobl	NA	NA	NA	NA	NA	NA	NA	NA
Cdca2	Mprip	NA	Megf6	Fblim1	NA	Ankrd17	NA	NA	NA	NA	NA	NA	NA	NA
Diaph3	Mdn1	NA	Slco5a1	Ngf	NA	Sp3	NA	NA	NA	NA	NA	NA	NA	NA
Spag5	Smc5	NA	Smim6	Slc7a7	NA	Rock1	NA	NA	NA	NA	NA	NA	NA	NA
Kif15	Paxbp1	NA	Tnc	Eif2ak3	NA	Mycbp2	NA	NA	NA	NA	NA	NA	NA	NA
Bora	Noc2l	NA	Lima1	Lrrk2	NA	Ttc14	NA	NA	NA	NA	NA	NA	NA	NA
Cenpq	Birc6	NA	Chac2	Sox9	NA	Apc	NA	NA	NA	NA	NA	NA	NA	NA
Terf1	Dis3	NA	NA	Bhlhe40	NA	Arhgap21	NA	NA	NA	NA	NA	NA	NA	NA
Pkp4	Pdzd8	NA	NA	Hdac4	NA	Nrd1	NA	NA	NA	NA	NA	NA	NA	NA
Fzr1	Cdk11b	NA	NA	Nabp1	NA	Ccdc88a	NA	NA	NA	NA	NA	NA	NA	NA
Ube2t	Ftsj3	NA	NA	Col18a1	NA	Tmem245	NA	NA	NA	NA	NA	NA	NA	NA
Ska1	Akap8	NA	NA	Dpysl3	NA	Usp9x	NA	NA	NA	NA	NA	NA	NA	NA
Haspin	NA	NA	NA	Spa17	NA	Nipbl	NA	NA	NA	NA	NA	NA	NA	NA
Akirin2	NA	NA	NA	Pdgfb	NA	Rbpj	NA	NA	NA	NA	NA	NA	NA	NA
Shcbp1	NA	NA	NA	Cd82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nuf2	NA	NA	NA	Fam210b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Uaca	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cenpl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Smtn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mastl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ehf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hmgb3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Troap	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mns1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lrp8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pif1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Espl1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tnfaip8l1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cenpm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ier5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cep89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
